"EC","AS000202","YAK","Yankunts","SEYK","-2.6760001182556152","-77.305831909179688","900","16/34","3Dirt","545","23","0%","0"
"EC","AS000203","YAS","Yasnunka","SEYS","-2.6528332233428955","-77.398666381835938","800","16/34","2Grass","700","21","0%","0"
"EC","AS000204","YAU","Yaupi","SEYA","-2.8510000705718994","-77.943000793457031","1250","15/33","2Grave/Dirt","800","15","0%","0"
"EC","AS000205","YAW","Yawaentza","SEYW","-2.7843334674835205","-77.457832336425781","900","18/36","3Dirt","435","15","0.5%","0"
"EC","AS000206","YUV","Yuvientza","SEYV","-2.1649999618530273","-77.57733154296875","1700","15/33","3Grass","550","15","1.5%","0"
"EC","AS000207","GYE","Guayaquil","SEGU","-2.1579999923706055","-79.884162902832031","18","03/21","1Asphalt","2790","46","0%","0"
"EC","AS000208","MCR","Macara","SEMA","-4.3826665878295898","-79.941329956054688","1508","01/19","1Asphalt","1040","20","0%","0"
"EC","AS000210","SAL","Salinas","SESA","-2.2058334350585937","-80.984664916992188","29","13/31","1Asphalt","2431","45","0%","0"
"EC","AS000213","ESM","Tachina-Esmeraldas","SETN","0.97766667604446411","-79.626663208007812","33","18/36","1Asphalt","2551","45","0%","0"
"EC","AS000214","TLC","Tulcan","SETU","0.81083333492279053","-77.708335876464844","9648","06/24","1Asphalt","2403","30","0"
"EC","AS000215","JAN","Jandiayacu","SEJA","-1.7308332920074463","-77.1094970703125","1100","03/21","3Dirt/Grass","480","10","3%","0"
"EC","AS000216","TNG","Tanguntza","SEGN","-2.0351667404174805","-76.471664428710938","900","13/31","3Grass/Dirt","495","15","0","0"
"EC","AS000221","KIK","Kikints","SEKQ","-2.3022222518920898","-77.356391906738281","1201","13/31","3DIRT","600","25","0"
"EC","AS000222","ATK","Atatakuinjia","SEKJ","-1.6498333215713501","-77.047996520996094","1000","10/27","3Tierra/Lastre","440","20","1.5%","0"
"EC","AS000223","MAN","Manta","SEMT","-0.94099998474121094","-80.674003601074219","49","06/24","1paved","2865","45","0"
"EC","AS000226","SVI","San","Vicente/Los","Perales","SESV","-0.60777777433395386","-80.402778625488281","10","15/33","1Pavimientado","2056","28","0"
"EC","AS000227","TAT","Tarimiant","SEWG","-2.5502777099609375","-77.088836669921875","800","01/19","590","25","0"
"EC","AS000228","CAT","Catamayo-LOJA","SECA","-3.9955556392669678","-79.366668701171875","4069","07-25","IAsfalto","1860","1860","30","0"
"EC","AS000229","TIP","Tiputini","SETI","-0.77583330869674683","-75.525833129882813","1000","08/26","2Asfalto","1100","20","0"
"EC","AS000232","BOLUL","BOLUL","BOLUL","-1.3772221803665161","-78.346389770507813","0"
"EC","AS000233","AMV","AMBATO","VOR","AMV","-1.2858333587646484","-78.546112060546875","0"
"EC","AS000235","LTV","LATACUNGA","VOR","LTV","-0.92583334445953369","-78.617225646972656","0"
"EC","AS000237","VUR","VURIS","VURIS","-1.1166666746139526","-78.169723510742188","0"
"EC","AS000238","SIN","SINOK","SINOK","-0.93805557489395142","-77.452499389648437","0"
"EC","AS000239","ANRAD","ANRAD","ANRAD","-1.3041666746139526","-77.323890686035156","0"
"EC","AS000240","ARSEG","ARSEG","ARSEG","-1.4713889360427856","-77.294723510742188","0"
"EC","AS000241","ASIBU","ASIBU","ASIBU","-1.6836111545562744","-77.312225341796875","0"
"EC","AS000242","BOGEX","BOGEX","BOGEX","-1.8597222566604614","-77.376663208007812","0"
